Name,Number,Type,Street,Quarter,Plan_number
Cachey Le,437,Chalet,Rue du Cachay,Rond-Point des Pistes,9
Cachoban,126,Chalet,Avenue Olympique,L'Illaz,4
Cacholet,124,Résidence,Avenue Olympique,Le Cacholet,3
Cagnotte,84,Chalet,Route de la Balme,Le Bosset,4
Caisse STVI,25,Forfaits,Accès par Rue des étroits,La Daille,2
Caisse STVI,245,Forfaits,Esplanade,Parc des Sports,6
Caisse STVI,306,Forfaits,Place des Dolomites,Val Village,8
Cala,671,Chalet,Montée de la Legettaz,La Legettaz,10
Calabourbane,154,Résidence,Rue de la Calabourdanne,La Calabourdanne,7
Calimero,533,Chalet,Chemin des Prés,Le Fornet,15
Calistoga,51,Chalet,Chemin de la Ruaz,Le Crêt,3
Camahu,538,Chalet,Rue du Fornet,Fornet,15
Campanules,404,Chalet,Rue de la Legettaz,La Legettaz,11
Campanules Les,87,Résidence,Avenue Olympique,Le Bosset,4
Camping du Laisinant,510,Camping,Route du Laisinant,Le Laisinant,13
Canadienne,109,Résidence,Route de la Balme,Le Petit Alaska,5
Canendal,256,Chalet,Rue du Parc des Sports,Les Lèches,7
Cantou,368,Garage,Rue du Joseray,Le Joseray,10
Cantou Le,367,Chalet,Rue du Joseray,Le Joseray,10
Cantouna,37,Chalet,D902,La Daille,2
Carats Les,218->230,Ensemble de Chalets,Montée de Bellevarde,Vers les Eaux,6
Carats blanc Les,679,Chalet,Rue des leissières,Rogoney,8
Caresse Lingerie,302,Commerce,Val Village,Val Village,8
Caribou,100,Chalet,Chemin du Petit Alaska,Le Petit Alaska,5
Carline,524,Chalet,Route du Laisinant,Le Laisinant,13
Casa Rivas de la Fuente,183,Chalet,Route de la Balme,La Balme,6
Casa Scara,448,Restaurant,Rue de l'Eglise,Vieux Village,8
Cascade,543,Chalet,Rue du Fornet,Le Fornet,15
Caserne Pompiers,497,Secours,Avenue du Prariond,Les Richardes,12
Cash 2000,504,Commerce,Rue des Barmettes,L'Adroit,12
Casino,7,Commerce,Place du Rosoleil,La Daille,1
Casserole La,195,Restaurant,Rue du Parc des Sports,Le Coin,7
Castor,637,Chalet,Chemin du Petit Alaska,Le Petit Alaska,5
Castor 1,104,Chalet,Chemin du Petit Alaska,Le Petit Alaska,5
Cathiard,218,Chalet,Montée de Bellevarde,Vers les Eaux,6
Cave sur le Comptoir La,144,Commerce,Avenue Olympique,L'Illaz,4
CCAS,71,Résidence,Avenue Olympique,Le Clos,3
Cembros,310,Chalet,Impasse des Gentianes,L'illetaz,8
Centaurés du Praz,407,Résidence,Rue de la Legettaz,La Legettaz,11
Centrale d'épuration CGE,2,Bâtiment,Chemin du Bois de la Laye,La Daille,1
Centrale électrique EDF,76,Bâtiment,Chemin des Côves,Les Côves,3
Centre Aquasportif,237,Bâtiment,Rue de la Face,Vers les Eaux,6
Centre commercial,7,Bâtiment,Place du Rosoleil,La Daille,1
Centre Henri Oreillier,235,Bâtiment,Rue de la Face,Vers les Eaux,6
Centre Médical Medival,63,Cabinet Médical,Avenue Olympique,Le Crêt,3
Chablis,416,Chalet,Rue de la Legettaz,La Legettaz,11
Chalet Bonnevie Jean Louis,19,Chalet,Rue des étroits,La Daille,2
Chalet Bout du Monde,662,Restaurant,Vallée du Manchet,Le Manchet,11
Chalet de Pierre,520,Chalet,Accès par Route du Laisinant,Le Laisinant,13
Chalet des Alpes,315,Chalet,Avenue du Prariond,L'Illetaz,8
Chalet des étroits,16,Chalet,Rue des étroits,La Daille,2
Chalet des Neiges,17,Chalet,Rue des étroits,La Daille,2
Chalet des Neiges,311,Chalet,Impasse des Gentianes,L'illetaz,8
